,READ DATE,CONSUMPTION(KWH),SOLD TO GRID(KWH),year_month
0,2020-05-07,0.29,0.0,2020-05
1,2020-05-08,0.34,0.0,2020-05
2,2020-05-09,0.41,0.0,2020-05
3,2020-05-10,0.52,0.0,2020-05
4,2020-05-11,0.35,0.0,2020-05
5,2020-05-12,0.35,0.0,2020-05
6,2020-05-13,0.35,0.0,2020-05
7,2020-05-14,0.49,0.01,2020-05
8,2020-05-15,0.25,0.72,2020-05
9,2020-05-16,0.34,0.7,2020-05
10,2020-05-17,0.3,0.68,2020-05
11,2020-05-18,0.22,0.64,2020-05
12,2020-05-19,0.23,0.4,2020-05
13,2020-05-20,0.23,0.44,2020-05
14,2020-05-21,0.28,0.44,2020-05
15,2020-05-22,0.23,0.44,2020-05
16,2020-05-23,0.42,0.4,2020-05
17,2020-05-24,0.27,0.37,2020-05
18,2020-05-25,0.23,0.56,2020-05
19,2020-05-26,0.3,0.57,2020-05
20,2020-05-27,0.32,0.41,2020-05
21,2020-05-28,0.33,0.53,2020-05
22,2020-05-29,0.23,0.51,2020-05
23,2020-05-30,0.4,0.48,2020-05
24,2020-05-31,0.33,0.43,2020-05
25,2020-06-01,0.27,0.2,2020-06
26,2020-06-02,0.32,0.27,2020-06
27,2020-06-03,0.27,0.43,2020-06
28,2020-06-04,4.22,0.34,2020-06
29,2020-06-05,0.26,0.48,2020-06
30,2020-06-06,0.35,0.2,2020-06
31,2020-06-07,0.29,0.48,2020-06
32,2020-06-08,0.37,0.44,2020-06
33,2020-06-09,0.24,0.45,2020-06
34,2020-06-10,0.37,0.44,2020-06
35,2020-06-11,0.5,0.41,2020-06
36,2020-06-12,0.27,0.46,2020-06
37,2020-06-13,0.98,0.24,2020-06
38,2020-06-14,0.36,0.44,2020-06
39,2020-06-15,0.43,0.48,2020-06
40,2020-06-16,0.24,0.21,2020-06
41,2020-06-17,0.33,0.43,2020-06
42,2020-06-18,0.32,0.41,2020-06
43,2020-06-19,0.24,0.41,2020-06
44,2020-06-20,0.27,0.42,2020-06
45,2020-06-21,1.7,0.28,2020-06
46,2020-06-22,3.53,0.13,2020-06
47,2020-06-23,3.41,0.17,2020-06
48,2020-06-24,3.94,0.15,2020-06
49,2020-06-25,3.39,0.34,2020-06
50,2020-06-26,9.13,0.24,2020-06
51,2020-06-27,9.77,0.3,2020-06
52,2020-06-28,13.02,0.39,2020-06
53,2020-06-29,17.38,0.24,2020-06
54,2020-06-30,15.75,0.47,2020-06
55,2020-07-01,10.09,0.41,2020-07
56,2020-07-02,4.24,0.34,2020-07
57,2020-07-03,12.06,0.11,2020-07
58,2020-07-04,11.9,0.21,2020-07
59,2020-07-05,15.27,0.24,2020-07
60,2020-07-06,12.97,0.3,2020-07
61,2020-07-07,17.14,0.17,2020-07
62,2020-07-08,15.98,0.38,2020-07
63,2020-07-09,12.08,0.39,2020-07
64,2020-07-10,7.55,0.35,2020-07
65,2020-07-11,24.3,0.03,2020-07
66,2020-07-12,15.59,0.23,2020-07
67,2020-07-13,12.87,0.4,2020-07
